vehiculo,timestamp,latitud,longitud,temperatura,evento
V0488,2025-09-06 23:46:40,-2.567503,-71.935882,10.82,TEMP_CRITICA
V0488,2025-09-06 23:58:25,11.941877,-77.07775,18.15,TEMP_CRITICA
V0404,2025-09-07 00:39:53,-1.042686,-72.780099,16.1,TEMP_CRITICA
V0488,2025-09-07 00:42:41,9.022061,-73.742496,7.34,OK
V0488,2025-09-07 00:45:10,2.390338,-74.273391,7.95,OK
V0488,2025-09-07 01:18:43,-2.081248,-66.176091,7.39,OK
V0404,2025-09-07 01:31:55,5.495723,-73.782266,5.63,OK
V0404,2025-09-07 01:32:47,-3.690964,-67.428994,8.42,OK
V0404,2025-09-07 01:58:46,8.453395,-74.875542,1.58,OK
V0404,2025-09-07 02:01:27,5.180111,-76.752689,13.0,TEMP_CRITICA
V0404,2025-09-07 02:16:42,10.808081,-73.769476,21.92,TEMP_CRITICA
V0150,2025-09-07 02:42:01,-2.004562,-67.375174,11.6,TEMP_CRITICA
V0150,2025-09-07 03:05:38,4.668312,-77.579349,9.29,OK
V0404,2025-09-07 03:22:02,12.556176,-75.579121,7.33,OK
V0150,2025-09-07 04:13:31,9.088191,-78.338737,12.14,TEMP_CRITICA
V0404,2025-09-07 04:15:30,9.618351,-77.605625,12.39,TEMP_CRITICA
V0404,2025-09-07 04:33:01,-2.703896,-71.393501,8.65,OK
V0404,2025-09-07 04:47:14,5.980644,-75.825112,9.63,OK
V0404,2025-09-07 04:58:09,12.6956,-78.107709,2.65,OK
V0150,2025-09-07 05:09:46,-0.733863,-70.806979,9.8,OK
V0301,2025-09-07 06:51:35,6.276697,-76.4903,15.65,TEMP_CRITICA
V0290,2025-09-07 07:14:57,-1.024633,-77.768759,6.24,OK
V0008,2025-09-07 07:19:41,6.549509,-69.82472,8.85,OK
V0008,2025-09-07 07:21:42,-4.66675,-74.580527,0.3,OK
V0301,2025-09-07 07:37:34,-5.201871,-67.648889,1.69,OK
V0290,2025-09-07 08:17:01,-5.077806,-75.642379,8.86,OK
V0327,2025-09-07 08:17:32,-4.17091,-67.454247,12.48,TEMP_CRITICA
V0327,2025-09-07 08:26:05,6.465577,-70.548882,7.98,OK
V0301,2025-09-07 08:43:28,-1.392145,-73.517329,4.78,OK
V0301,2025-09-07 08:46:56,-5.153572,-76.587814,14.8,TEMP_CRITICA
V0290,2025-09-07 08:53:24,0.705179,-67.962765,7.56,OK
V0327,2025-09-07 09:12:59,-5.023483,-77.723064,1.9,OK
V0327,2025-09-07 09:46:49,5.772574,-74.918878,8.96,OK
V0327,2025-09-07 09:48:31,-2.344996,-67.662582,12.78,TEMP_CRITICA
V0193,2025-09-07 09:54:35,-3.355419,-76.373191,10.15,TEMP_CRITICA
V0301,2025-09-07 10:02:05,8.539306,-71.309216,11.46,TEMP_CRITICA
V0301,2025-09-07 10:11:27,12.16639,-76.026327,4.88,OK
V0413,2025-09-07 10:27:07,6.004915,-70.378961,15.61,TEMP_CRITICA
V0193,2025-09-07 10:28:29,-4.671413,-76.220464,18.14,TEMP_CRITICA
V0301,2025-09-07 10:34:29,7.586159,-76.33499,7.37,OK
V0301,2025-09-07 10:41:52,10.535225,-73.406775,12.34,TEMP_CRITICA
V0193,2025-09-07 10:58:49,12.223448,-73.576968,12.59,TEMP_CRITICA
V0413,2025-09-07 11:01:57,-5.628099,-68.073213,9.32,OK
V0327,2025-09-07 11:14:59,6.374625,-72.734075,15.02,TEMP_CRITICA
V0413,2025-09-07 11:54:24,11.510282,-76.381743,3.97,OK
V0193,2025-09-07 11:56:06,7.743391,-68.055854,4.18,OK
V0327,2025-09-07 12:11:39,1.102433,-73.695466,17.24,TEMP_CRITICA
V0193,2025-09-07 12:49:03,4.826363,-73.509476,8.88,OK
V0413,2025-09-07 14:42:47,2.432391,-71.553104,14.58,TEMP_CRITICA
V0078,2025-09-07 17:48:53,12.345228,-75.607729,14.68,TEMP_CRITICA
V0078,2025-09-07 18:32:25,-3.629487,-74.739542,9.34,OK
V0111,2025-09-07 22:07:15,1.30301,-69.625929,9.68,OK
V0111,2025-09-07 23:30:58,11.38817,-71.714926,6.91,OK
V0022,2025-09-07 23:31:33,-3.938955,-78.918546,4.5,OK
V0111,2025-09-07 23:49:16,9.718468,-73.906042,5.88,OK
V0111,2025-09-08 00:02:06,4.413776,-68.299646,1.76,OK
V0111,2025-09-08 00:13:45,-5.815841,-68.139905,12.11,TEMP_CRITICA
V0022,2025-09-08 00:21:22,8.292752,-70.522317,0.75,OK
V0390,2025-09-08 00:24:17,9.439211,-73.767157,18.9,TEMP_CRITICA
V0390,2025-09-08 00:30:53,-4.682304,-66.929562,0.93,OK
V0022,2025-09-08 00:43:45,-3.596225,-68.019352,6.6,OK
V0390,2025-09-08 00:55:31,-0.009779,-68.519238,10.49,TEMP_CRITICA
V0022,2025-09-08 01:08:20,4.459416,-75.037522,13.86,TEMP_CRITICA
V0489,2025-09-08 01:16:08,-0.686345,-74.165997,22.08,TEMP_CRITICA
V0022,2025-09-08 01:29:23,0.450329,-74.608077,9.63,OK
V0489,2025-09-08 01:43:39,11.066302,-70.347689,4.31,OK
V0250,2025-09-08 01:57:14,6.59419,-73.011063,7.43,OK
V0489,2025-09-08 01:57:19,0.536425,-66.317609,12.43,TEMP_CRITICA
V0250,2025-09-08 02:10:50,3.548204,-75.279625,8.68,OK
V0250,2025-09-08 02:11:59,-0.64476,-69.190043,9.06,OK
V0390,2025-09-08 02:13:28,-4.854167,-76.956925,10.82,TEMP_CRITICA
V0250,2025-09-08 02:17:39,-3.070703,-78.119961,17.02,TEMP_CRITICA
V0005,2025-09-08 02:35:00,12.954855,-68.84736,5.18,OK
V0489,2025-09-08 02:52:13,0.648886,-71.964337,12.1,TEMP_CRITICA
V0390,2025-09-08 02:53:55,12.616778,-66.161073,9.9,OK
V0390,2025-09-08 03:09:29,12.419284,-66.685352,13.54,TEMP_CRITICA
V0489,2025-09-08 03:14:43,9.694456,-67.888283,8.32,OK
V0250,2025-09-08 03:41:25,0.099206,-72.84776,8.28,OK
V0250,2025-09-08 03:57:15,10.598936,-67.043034,2.22,OK
V0326,2025-09-08 04:11:49,2.162061,-75.492286,14.76,TEMP_CRITICA
V0489,2025-09-08 04:12:35,5.728486,-75.69053,13.74,TEMP_CRITICA
V0489,2025-09-08 04:12:48,-5.752374,-75.046303,5.79,OK
V0489,2025-09-08 04:28:29,10.426554,-73.232921,11.91,TEMP_CRITICA
V0250,2025-09-08 04:30:24,-3.758415,-74.045306,7.37,OK
V0360,2025-09-08 04:39:52,1.98897,-75.942144,5.29,OK
V0005,2025-09-08 04:57:42,1.078722,-74.864151,1.5,OK
V0250,2025-09-08 04:58:01,-2.588924,-71.395927,13.29,TEMP_CRITICA
V0250,2025-09-08 05:00:35,3.443094,-77.950441,12.06,TEMP_CRITICA
V0360,2025-09-08 05:21:10,-1.283613,-71.910231,5.8,OK
V0126,2025-09-08 05:54:20,11.53097,-69.590664,6.9,OK
V0294,2025-09-08 06:00:07,2.647461,-74.767246,12.31,TEMP_CRITICA
V0326,2025-09-08 06:16:06,-1.376592,-66.717788,4.31,OK
V0360,2025-09-08 06:23:57,-3.030567,-78.396958,10.32,TEMP_CRITICA
V0294,2025-09-08 06:33:42,12.022995,-71.357565,4.96,OK
V0294,2025-09-08 06:58:48,-2.232682,-72.373902,4.99,OK
V0126,2025-09-08 07:31:40,-0.428641,-77.553937,15.37,TEMP_CRITICA
V0294,2025-09-08 07:35:11,-4.876697,-73.716848,16.27,TEMP_CRITICA
V0126,2025-09-08 07:35:42,-5.43658,-76.041958,7.45,OK
V0126,2025-09-08 07:50:44,8.920475,-71.042267,15.02,TEMP_CRITICA
V0126,2025-09-08 07:53:48,10.202983,-74.994032,2.18,OK
V0294,2025-09-08 08:11:30,11.040028,-68.140064,5.22,OK
V0126,2025-09-08 08:29:55,4.726989,-70.450444,8.84,OK
V0086,2025-09-08 08:38:35,-5.847883,-72.148188,3.36,OK
V0086,2025-09-08 09:00:00,2.385337,-72.572386,4.97,OK
V0086,2025-09-08 09:19:43,-1.323378,-77.318749,0.34,OK
V0086,2025-09-08 09:26:53,2.322682,-66.354839,9.37,OK
V0294,2025-09-08 09:50:30,2.992551,-68.621318,7.72,OK
V0271,2025-09-08 10:19:12,-0.670463,-75.362827,11.29,TEMP_CRITICA
V0086,2025-09-08 11:03:53,6.676812,-76.673602,8.28,OK
V0409,2025-09-08 11:13:54,9.843767,-77.811356,4.59,OK
V0409,2025-09-08 11:26:37,2.650503,-73.619301,11.71,TEMP_CRITICA
V0409,2025-09-08 11:34:46,-5.291343,-69.084127,14.62,TEMP_CRITICA
V0271,2025-09-08 11:37:42,8.010178,-67.270581,4.53,OK
V0409,2025-09-08 12:10:29,3.654758,-67.450432,12.18,TEMP_CRITICA
V0409,2025-09-08 12:43:53,-5.835569,-68.133385,4.05,OK
V0038,2025-09-08 12:46:07,9.29859,-78.044992,9.86,OK
V0409,2025-09-08 13:16:06,8.846553,-68.469285,7.32,OK
V0409,2025-09-08 13:29:51,-1.622707,-66.083577,8.81,OK
V0038,2025-09-08 13:36:44,3.139962,-66.239007,9.07,OK
V0038,2025-09-08 13:54:31,-5.293118,-70.946034,9.13,OK
V0038,2025-09-08 13:56:43,12.442864,-78.541295,4.77,OK
V0008,2025-09-08 14:12:41,0.888802,-77.828944,7.75,OK
V0008,2025-09-08 14:27:25,-5.253168,-73.983257,5.45,OK
V0390,2025-09-08 14:41:55,6.563707,-69.003586,10.19,TEMP_CRITICA
V0031,2025-09-08 14:42:31,11.022459,-73.683593,12.11,TEMP_CRITICA
V0332,2025-09-08 14:43:57,9.990133,-69.214978,4.97,OK
V0008,2025-09-08 14:49:07,8.237007,-72.994055,2.0,OK
V0390,2025-09-08 14:58:10,-2.226667,-75.186359,4.39,OK
V0008,2025-09-08 14:58:28,10.734674,-70.966338,11.7,TEMP_CRITICA
V0390,2025-09-08 15:04:19,5.320625,-75.618755,8.22,OK
V0031,2025-09-08 15:07:41,6.354805,-68.705588,16.01,TEMP_CRITICA
V0038,2025-09-08 15:08:35,1.678537,-76.150815,11.96,TEMP_CRITICA
V0390,2025-09-08 15:34:40,0.383327,-70.922027,9.83,OK
V0390,2025-09-08 15:36:04,9.262424,-67.567436,7.38,OK
V0390,2025-09-08 15:36:57,-1.846675,-74.32153,1.09,OK
V0327,2025-09-08 15:37:09,2.918914,-77.17091,21.67,TEMP_CRITICA
V0008,2025-09-08 15:49:28,8.788182,-75.994918,8.16,OK
V0327,2025-09-08 15:51:09,10.625675,-72.442578,6.79,OK
V0327,2025-09-08 15:52:00,0.035161,-77.121648,4.69,OK
V0327,2025-09-08 15:52:47,9.541038,-70.140348,8.26,OK
V0008,2025-09-08 15:56:11,-5.997523,-69.49704,9.85,OK
V0038,2025-09-08 16:05:14,-4.148835,-77.872295,19.62,TEMP_CRITICA
V0327,2025-09-08 16:08:33,11.833761,-69.931645,4.63,OK
V0031,2025-09-08 16:13:34,-4.838649,-68.675676,12.4,TEMP_CRITICA
V0031,2025-09-08 16:33:21,11.2032,-77.085322,9.75,OK
V0031,2025-09-08 16:40:20,-4.013435,-77.209324,10.25,TEMP_CRITICA
V0332,2025-09-08 16:40:57,1.842698,-75.690327,0.59,OK
V0008,2025-09-08 17:04:59,-4.827283,-67.567417,1.11,OK
V0332,2025-09-08 17:20:03,7.172597,-70.547796,-1.71,OK
V0332,2025-09-08 17:42:06,6.706864,-67.099707,11.24,TEMP_CRITICA
V0327,2025-09-08 17:54:48,11.228824,-69.230693,6.84,OK
V0112,2025-09-08 17:57:34,12.946239,-77.853853,13.41,TEMP_CRITICA
V0008,2025-09-08 18:02:30,2.376123,-76.779766,8.2,OK
V0327,2025-09-08 18:11:21,8.730275,-74.807023,9.89,OK
V0327,2025-09-08 19:02:47,10.715985,-67.196544,8.58,OK
V0053,2025-09-08 19:18:43,8.967562,-71.718162,9.2,OK
V0067,2025-09-08 19:23:26,10.555323,-73.120483,9.75,OK
V0067,2025-09-08 19:35:09,-1.952331,-68.824271,9.51,OK
V0158,2025-09-08 19:38:59,-4.683497,-67.945945,12.34,TEMP_CRITICA
V0265,2025-09-08 20:06:57,-4.438902,-74.530201,3.27,OK
V0265,2025-09-08 20:15:49,3.038268,-76.750065,10.7,TEMP_CRITICA
V0197,2025-09-08 20:29:11,-4.506859,-69.519624,12.91,TEMP_CRITICA
V0227,2025-09-08 20:37:08,-3.093997,-75.985109,8.47,OK
V0053,2025-09-08 20:53:12,-1.896178,-68.785971,10.34,TEMP_CRITICA
V0197,2025-09-08 20:56:05,3.17469,-75.781402,9.71,OK
V0265,2025-09-08 21:06:07,4.08584,-75.543255,4.71,OK
V0053,2025-09-08 21:06:41,4.779985,-69.810093,9.53,OK
V0197,2025-09-08 21:14:06,4.368919,-74.852559,-0.33,OK
V0265,2025-09-08 21:34:36,-3.958785,-70.683191,0.71,OK
V0227,2025-09-08 21:40:42,-4.438646,-69.736424,13.09,TEMP_CRITICA
V0158,2025-09-08 21:42:41,9.657853,-66.623068,8.2,OK
V0265,2025-09-08 21:45:23,11.165406,-69.067073,22.29,TEMP_CRITICA
V0227,2025-09-08 21:45:46,-1.846416,-66.393429,11.5,TEMP_CRITICA
V0052,2025-09-08 21:45:55,1.373686,-71.394682,14.38,TEMP_CRITICA
V0227,2025-09-08 21:46:46,7.506258,-72.183876,9.33,OK
V0265,2025-09-08 21:58:33,5.824344,-70.742334,1.19,OK
V0067,2025-09-08 22:00:25,-1.924692,-66.560175,12.34,TEMP_CRITICA
V0067,2025-09-08 22:14:13,6.699183,-77.266462,7.88,OK
V0044,2025-09-08 22:29:23,10.700464,-77.220142,15.95,TEMP_CRITICA
V0197,2025-09-08 22:30:06,8.672303,-75.681995,13.15,TEMP_CRITICA
V0471,2025-09-08 22:35:43,-5.620959,-72.438406,6.1,OK
V0227,2025-09-08 22:42:22,2.546848,-72.206729,13.62,TEMP_CRITICA
V0471,2025-09-08 23:34:54,2.207265,-70.671777,12.61,TEMP_CRITICA
V0197,2025-09-08 23:37:14,4.627902,-78.534703,13.16,TEMP_CRITICA
V0044,2025-09-08 23:51:30,6.973891,-72.643986,8.49,OK
V0052,2025-09-09 00:01:10,-1.471744,-74.388359,12.36,TEMP_CRITICA
V0044,2025-09-09 00:41:12,-2.16856,-75.595733,5.88,OK
V0471,2025-09-09 00:54:56,2.686285,-75.522509,6.67,OK
V0044,2025-09-09 00:55:46,-3.457344,-75.41288,14.19,TEMP_CRITICA
V0309,2025-09-09 01:00:41,-4.390758,-78.742425,5.88,OK
V0309,2025-09-09 01:07:00,-5.020102,-76.559032,5.41,OK
V0197,2025-09-09 01:12:08,1.38966,-69.689692,8.34,OK
V0052,2025-09-09 01:34:37,-0.632381,-69.713789,6.97,OK
V0309,2025-09-09 03:07:30,-3.903896,-74.390454,7.54,OK
V0023,2025-09-09 03:31:44,1.753913,-71.809845,9.33,OK
V0309,2025-09-09 03:49:54,11.25511,-68.551269,6.2,OK
V0168,2025-09-09 03:52:45,-0.542968,-75.460256,15.9,TEMP_CRITICA
V0309,2025-09-09 04:03:57,11.182544,-78.540652,14.66,TEMP_CRITICA
V0465,2025-09-09 04:04:49,8.142402,-71.356348,5.44,OK
V0125,2025-09-09 04:47:08,0.491772,-77.992549,5.09,OK
V0168,2025-09-09 05:02:23,2.674741,-66.911512,4.96,OK
V0465,2025-09-09 05:11:38,-5.087838,-71.858852,-4.01,OK
V0309,2025-09-09 05:14:40,0.802365,-70.362424,6.44,OK
V0489,2025-09-09 05:26:15,11.789829,-78.517541,6.52,OK
V0155,2025-09-09 05:28:02,9.032966,-66.952428,11.35,TEMP_CRITICA
V0125,2025-09-09 05:30:40,7.438988,-73.779582,12.59,TEMP_CRITICA
V0168,2025-09-09 05:47:08,4.71493,-67.620244,11.79,TEMP_CRITICA
V0465,2025-09-09 05:56:36,9.711755,-75.672135,7.71,OK
V0168,2025-09-09 05:59:33,6.230971,-77.14829,6.02,OK
V0376,2025-09-09 06:04:38,2.26655,-66.979675,11.25,TEMP_CRITICA
V0376,2025-09-09 06:11:59,-5.615857,-69.873409,9.6,OK
V0125,2025-09-09 06:27:01,-0.218144,-69.39766,7.25,OK
V0155,2025-09-09 06:43:54,-1.00609,-69.631255,2.46,OK
V0155,2025-09-09 06:52:17,-3.027059,-74.964171,5.52,OK
V0125,2025-09-09 06:58:57,3.209071,-70.565473,11.57,TEMP_CRITICA
V0376,2025-09-09 07:12:21,-0.201999,-73.286277,7.27,OK
V0155,2025-09-09 07:41:06,7.964902,-69.111427,10.43,TEMP_CRITICA
V0376,2025-09-09 07:45:00,12.225994,-72.930162,7.79,OK
V0107,2025-09-09 08:11:52,12.638727,-68.244605,8.01,OK
V0376,2025-09-09 08:17:42,-0.852326,-77.042999,8.21,OK
V0376,2025-09-09 09:07:12,3.183926,-76.778191,3.48,OK
V0155,2025-09-09 09:22:19,6.988462,-74.56117,3.18,OK
V0155,2025-09-09 09:25:01,12.831979,-69.504191,7.33,OK
V0376,2025-09-09 09:31:24,-2.55889,-66.526359,1.51,OK
V0376,2025-09-09 09:37:38,-5.069705,-70.955735,15.45,TEMP_CRITICA
V0155,2025-09-09 09:55:21,5.512477,-71.681203,19.61,TEMP_CRITICA
V0003,2025-09-09 10:21:20,4.878798,-72.537915,12.33,TEMP_CRITICA
V0050,2025-09-09 10:21:36,7.599481,-73.21214,13.53,TEMP_CRITICA
V0392,2025-09-09 10:27:13,1.314263,-69.0669,3.49,OK
V0050,2025-09-09 10:27:49,2.237961,-68.800915,13.95,TEMP_CRITICA
V0023,2025-09-09 11:03:02,8.903526,-73.537939,2.23,OK
V0392,2025-09-09 11:08:23,4.485832,-76.871976,5.51,OK
V0003,2025-09-09 11:12:26,11.361473,-66.240292,7.37,OK
V0003,2025-09-09 11:18:11,8.200069,-67.270279,-1.71,OK
V0003,2025-09-09 11:23:39,11.566024,-73.803023,9.96,OK
V0003,2025-09-09 11:31:27,11.260394,-72.175577,7.45,OK
V0023,2025-09-09 11:34:08,7.699545,-70.505182,13.79,TEMP_CRITICA
V0392,2025-09-09 11:43:01,10.636803,-74.499535,14.83,TEMP_CRITICA
V0050,2025-09-09 11:43:36,11.229386,-66.801648,11.84,TEMP_CRITICA
V0050,2025-09-09 11:55:25,4.927151,-68.272044,3.2,OK
V0023,2025-09-09 11:55:32,12.88481,-78.762386,13.2,TEMP_CRITICA
V0003,2025-09-09 12:02:17,4.719474,-75.651574,-1.35,OK
V0438,2025-09-09 12:25:25,8.334361,-71.402642,9.37,OK
V0003,2025-09-09 12:35:24,-1.840691,-66.122268,5.04,OK
V0003,2025-09-09 12:35:49,0.561117,-69.281408,9.41,OK
V0197,2025-09-09 12:37:30,8.78658,-78.458272,10.28,TEMP_CRITICA
V0438,2025-09-09 12:39:24,4.91965,-71.545636,14.89,TEMP_CRITICA
V0438,2025-09-09 12:43:36,1.142656,-78.569809,5.96,OK
V0023,2025-09-09 12:47:46,-1.319632,-77.409456,15.57,TEMP_CRITICA
V0392,2025-09-09 13:11:15,6.85277,-71.417157,4.33,OK
V0197,2025-09-09 13:30:08,4.082951,-73.07907,14.54,TEMP_CRITICA
V0197,2025-09-09 13:55:21,3.740096,-69.497453,2.09,OK
V0023,2025-09-09 14:00:25,1.042883,-70.301824,7.54,OK
V0129,2025-09-09 14:06:45,12.081164,-74.747187,13.19,TEMP_CRITICA
V0003,2025-09-09 14:08:21,7.084816,-72.238251,13.99,TEMP_CRITICA
V0331,2025-09-09 14:10:42,-4.522192,-73.71828,5.76,OK
V0331,2025-09-09 14:20:53,-1.76142,-73.533415,4.54,OK
V0450,2025-09-09 14:28:43,7.718505,-70.891005,10.45,TEMP_CRITICA
V0193,2025-09-09 14:29:02,-2.179137,-76.66511,-8.19,OK
V0129,2025-09-09 14:33:50,-3.540298,-73.567491,5.48,OK
V0193,2025-09-09 14:34:35,12.192657,-70.531033,10.32,TEMP_CRITICA
V0450,2025-09-09 14:45:22,12.75257,-77.721178,15.38,TEMP_CRITICA
V0193,2025-09-09 15:05:20,10.887996,-72.208358,16.31,TEMP_CRITICA
V0331,2025-09-09 15:19:04,5.462965,-73.013866,8.98,OK
V0331,2025-09-09 15:19:36,4.909396,-78.036464,6.14,OK
V0438,2025-09-09 15:19:45,1.925311,-75.710598,11.25,TEMP_CRITICA
V0129,2025-09-09 15:36:35,-5.776758,-78.906038,2.71,OK
V0197,2025-09-09 15:49:16,-0.51399,-78.546184,14.86,TEMP_CRITICA
V0129,2025-09-09 16:13:01,5.664129,-75.06683,5.07,OK
V0111,2025-09-09 16:13:39,9.65177,-74.002803,-2.03,OK
V0059,2025-09-09 16:24:02,11.434146,-75.412818,16.44,TEMP_CRITICA
V0450,2025-09-09 16:27:13,12.587859,-73.213923,10.35,TEMP_CRITICA
V0111,2025-09-09 16:57:42,-0.838522,-76.205915,13.77,TEMP_CRITICA
V0111,2025-09-09 17:06:19,4.608937,-75.756249,7.42,OK
V0111,2025-09-09 17:08:38,0.106142,-75.216547,8.96,OK
V0129,2025-09-09 17:18:02,1.658932,-76.891709,12.84,TEMP_CRITICA
V0331,2025-09-09 17:18:10,-2.871981,-78.305286,16.5,TEMP_CRITICA
V0129,2025-09-09 17:31:25,-2.752367,-71.930187,8.35,OK
V0059,2025-09-09 17:52:39,-2.134419,-69.76271,2.41,OK
V0059,2025-09-09 18:02:21,-2.881517,-72.353913,17.04,TEMP_CRITICA
V0059,2025-09-09 18:16:19,2.44058,-75.601787,0.23,OK
V0059,2025-09-09 18:32:47,5.431938,-78.588634,10.4,TEMP_CRITICA
V0131,2025-09-09 18:34:06,10.53438,-77.401962,7.75,OK
V0059,2025-09-09 18:38:39,9.434216,-71.004586,11.62,TEMP_CRITICA
V0111,2025-09-09 19:31:43,6.360845,-72.256987,7.83,OK
V0059,2025-09-09 19:58:24,12.645953,-73.800167,7.01,OK
V0059,2025-09-09 20:07:58,-3.820873,-70.463675,14.79,TEMP_CRITICA
V0011,2025-09-09 20:13:41,-1.412999,-75.303782,17.43,TEMP_CRITICA
V0011,2025-09-09 20:45:33,-0.713133,-69.428764,10.57,TEMP_CRITICA
V0071,2025-09-09 20:58:35,3.868907,-73.966087,14.88,TEMP_CRITICA
V0059,2025-09-09 21:16:24,-1.762968,-70.869007,9.13,OK
V0059,2025-09-09 21:22:57,-0.254626,-71.876657,-2.01,OK
V0059,2025-09-09 21:39:00,6.598713,-76.554052,5.48,OK
V0059,2025-09-09 21:52:36,-5.982175,-78.248599,0.31,OK
V0059,2025-09-09 21:59:37,1.840119,-66.295216,11.72,TEMP_CRITICA
V0242,2025-09-09 22:06:10,1.667136,-66.383076,11.55,TEMP_CRITICA
V0011,2025-09-09 22:11:07,-3.390509,-69.437312,4.87,OK
V0011,2025-09-09 22:18:40,-2.965297,-70.819248,7.49,OK
V0011,2025-09-09 22:25:53,-1.4722,-68.072615,11.39,TEMP_CRITICA
V0329,2025-09-09 22:39:04,8.241071,-66.432384,7.07,OK
V0242,2025-09-09 23:00:28,0.672824,-73.692151,8.12,OK
V0095,2025-09-09 23:05:58,0.440304,-73.827816,9.09,OK
V0011,2025-09-09 23:11:55,4.190287,-73.459451,2.78,OK
V0011,2025-09-09 23:12:43,1.429363,-72.804513,17.5,TEMP_CRITICA
V0329,2025-09-09 23:29:36,6.710574,-70.882458,3.75,OK
V0329,2025-09-09 23:38:45,10.116962,-70.958498,13.83,TEMP_CRITICA
V0095,2025-09-09 23:53:37,2.21089,-69.030197,5.98,OK
V0095,2025-09-10 00:00:15,2.113621,-72.591026,6.74,OK
V0095,2025-09-10 00:04:30,3.718192,-72.237905,6.03,OK
V0071,2025-09-10 00:22:33,3.119116,-76.38988,12.84,TEMP_CRITICA
V0095,2025-09-10 00:30:06,8.463749,-73.732413,8.1,OK
V0242,2025-09-10 00:45:57,7.879979,-76.297641,12.07,TEMP_CRITICA
V0329,2025-09-10 00:48:38,-4.401991,-73.559381,6.19,OK
V0242,2025-09-10 00:49:23,-1.758793,-72.081551,10.7,TEMP_CRITICA
V0095,2025-09-10 00:53:19,-0.797175,-72.706331,11.22,TEMP_CRITICA
V0314,2025-09-10 01:03:45,-5.192284,-66.799251,-4.42,OK
V0329,2025-09-10 01:05:12,-5.203535,-66.548205,6.5,OK
V0314,2025-09-10 01:12:25,-3.094854,-74.385016,9.0,OK
V0314,2025-09-10 01:14:45,1.745259,-69.821598,9.03,OK
V0478,2025-09-10 01:23:37,8.938404,-75.817261,6.03,OK
V0314,2025-09-10 01:43:33,-3.696881,-71.644497,1.78,OK
V0242,2025-09-10 01:45:45,-2.314255,-74.036861,17.55,TEMP_CRITICA
V0314,2025-09-10 01:45:57,6.606124,-78.872774,2.98,OK
V0095,2025-09-10 01:48:26,3.2613,-77.915153,18.36,TEMP_CRITICA
V0021,2025-09-10 01:54:13,-4.782419,-69.350996,18.02,TEMP_CRITICA
V0478,2025-09-10 02:05:49,5.052022,-76.18556,0.42,OK
V0242,2025-09-10 02:09:36,-0.271582,-72.25202,-2.44,OK
V0021,2025-09-10 02:12:41,6.917162,-68.786626,14.43,TEMP_CRITICA
V0095,2025-09-10 02:13:46,7.687573,-76.543218,2.03,OK
V0021,2025-09-10 02:51:52,-1.143067,-70.834985,7.74,OK
V0021,2025-09-10 03:31:06,3.081581,-68.719472,7.88,OK
V0478,2025-09-10 04:02:08,-2.907784,-72.901606,9.58,OK
V0478,2025-09-10 04:25:35,9.027342,-66.098858,-2.85,OK
V0362,2025-09-10 04:29:36,-5.88213,-66.443241,12.71,TEMP_CRITICA
V0021,2025-09-10 04:53:54,0.235984,-72.407603,5.06,OK
V0362,2025-09-10 05:01:40,1.780888,-74.427244,10.48,TEMP_CRITICA
V0021,2025-09-10 05:08:42,-5.273343,-67.86488,6.03,OK
